2025-12-08 12:06:32 | INFO | Config saved to ./logs/TimeLLM_ETTh1_TimeLLM-ETTh1-GPT2_20251208_120632/config.json
2025-12-08 12:06:32 | INFO | Experiment Setting: long_term_forecast_ETTh1_512_96_TimeLLM_ETTh1_ftM_sl512_ll48_pl96_dm32_nh8_el2_dl1_df128_fc3_ebtimeF_Exp_0
2025-12-08 12:06:32 | INFO | Training iteration: 1/1
2025-12-08 12:07:29 | INFO | Epoch 001 | Iter 00100/1004 | Loss: 0.4828044 | Speed: 0.5511s/iter | ETA: 2h 17m
2025-12-08 12:08:22 | INFO | Epoch 001 | Iter 00200/1004 | Loss: 0.3123443 | Speed: 0.5297s/iter | ETA: 2h 11m
2025-12-08 12:09:10 | INFO | Epoch 001 | Iter 00300/1004 | Loss: 0.6584493 | Speed: 0.4856s/iter | ETA: 1h 59m
2025-12-08 12:10:06 | INFO | Epoch 001 | Iter 00400/1004 | Loss: 0.4381938 | Speed: 0.5597s/iter | ETA: 2h 16m
2025-12-08 12:11:00 | INFO | Epoch 001 | Iter 00500/1004 | Loss: 0.3586454 | Speed: 0.5393s/iter | ETA: 2h 10m
2025-12-08 12:11:44 | INFO | Epoch 001 | Iter 00600/1004 | Loss: 0.3704472 | Speed: 0.4374s/iter | ETA: 1h 45m
2025-12-08 12:12:38 | INFO | Epoch 001 | Iter 00700/1004 | Loss: 0.4169327 | Speed: 0.5418s/iter | ETA: 2h 9m
2025-12-08 12:13:32 | INFO | Epoch 001 | Iter 00800/1004 | Loss: 0.4306999 | Speed: 0.5419s/iter | ETA: 2h 8m
2025-12-08 12:14:25 | INFO | Epoch 001 | Iter 00900/1004 | Loss: 0.5218136 | Speed: 0.5264s/iter | ETA: 2h 4m
2025-12-08 12:15:10 | INFO | Epoch 001 | Iter 01000/1004 | Loss: 0.4304740 | Speed: 0.4485s/iter | ETA: 1h 45m
2025-12-08 12:18:30 | INFO | Epoch 001 | Train Loss: 0.4359235 | Vali Loss: 0.7879565 | Test Loss: 0.3976603 | MAE: 0.4177058 | Time: 518.04s | LR: 4.00e-04
2025-12-08 12:19:25 | INFO | Epoch 002 | Iter 00100/1004 | Loss: 0.4332895 | Speed: 2.5550s/iter | ETA: 9h 54m
2025-12-08 12:20:10 | INFO | Epoch 002 | Iter 00200/1004 | Loss: 0.3928016 | Speed: 0.4529s/iter | ETA: 1h 44m
2025-12-08 12:21:02 | INFO | Epoch 002 | Iter 00300/1004 | Loss: 0.3532136 | Speed: 0.5189s/iter | ETA: 1h 58m
2025-12-08 12:21:57 | INFO | Epoch 002 | Iter 00400/1004 | Loss: 0.4174447 | Speed: 0.5426s/iter | ETA: 2h 3m
2025-12-08 12:22:50 | INFO | Epoch 002 | Iter 00500/1004 | Loss: 0.3431946 | Speed: 0.5309s/iter | ETA: 1h 59m
2025-12-08 12:23:33 | INFO | Epoch 002 | Iter 00600/1004 | Loss: 0.4430478 | Speed: 0.4299s/iter | ETA: 1h 36m
2025-12-08 12:24:27 | INFO | Epoch 002 | Iter 00700/1004 | Loss: 0.4061848 | Speed: 0.5425s/iter | ETA: 2h 0m
2025-12-08 12:25:21 | INFO | Epoch 002 | Iter 00800/1004 | Loss: 0.3939354 | Speed: 0.5412s/iter | ETA: 1h 59m
2025-12-08 12:26:11 | INFO | Epoch 002 | Iter 00900/1004 | Loss: 0.3211765 | Speed: 0.5046s/iter | ETA: 1h 50m
2025-12-08 12:26:58 | INFO | Epoch 002 | Iter 01000/1004 | Loss: 0.3114328 | Speed: 0.4653s/iter | ETA: 1h 41m
2025-12-08 12:30:07 | INFO | Epoch 002 | Train Loss: 0.3922237 | Vali Loss: 0.7712418 | Test Loss: 0.3988985 | MAE: 0.4185033 | Time: 509.22s | LR: 4.00e-04
2025-12-08 12:31:04 | INFO | Epoch 003 | Iter 00100/1004 | Loss: 0.4110686 | Speed: 2.4553s/iter | ETA: 8h 50m
2025-12-08 12:31:49 | INFO | Epoch 003 | Iter 00200/1004 | Loss: 0.5282414 | Speed: 0.4557s/iter | ETA: 1h 37m
2025-12-08 12:32:41 | INFO | Epoch 003 | Iter 00300/1004 | Loss: 0.3588641 | Speed: 0.5170s/iter | ETA: 1h 49m
2025-12-08 12:33:35 | INFO | Epoch 003 | Iter 00400/1004 | Loss: 0.3311362 | Speed: 0.5426s/iter | ETA: 1h 54m
2025-12-08 12:34:28 | INFO | Epoch 003 | Iter 00500/1004 | Loss: 0.4866498 | Speed: 0.5310s/iter | ETA: 1h 51m
2025-12-08 12:35:11 | INFO | Epoch 003 | Iter 00600/1004 | Loss: 0.3161477 | Speed: 0.4299s/iter | ETA: 1h 29m
2025-12-08 12:36:05 | INFO | Epoch 003 | Iter 00700/1004 | Loss: 0.4632129 | Speed: 0.5415s/iter | ETA: 1h 51m
2025-12-08 12:37:00 | INFO | Epoch 003 | Iter 00800/1004 | Loss: 0.2927758 | Speed: 0.5426s/iter | ETA: 1h 50m
2025-12-08 12:37:50 | INFO | Epoch 003 | Iter 00900/1004 | Loss: 0.2862946 | Speed: 0.5057s/iter | ETA: 1h 42m
2025-12-08 12:38:37 | INFO | Epoch 003 | Iter 01000/1004 | Loss: 0.5098671 | Speed: 0.4653s/iter | ETA: 1h 33m
2025-12-08 12:41:45 | INFO | Epoch 003 | Train Loss: 0.3806879 | Vali Loss: 0.8113388 | Test Loss: 0.3896617 | MAE: 0.4133073 | Time: 509.51s | LR: 2.00e-04
2025-12-08 12:42:39 | INFO | Epoch 004 | Iter 00100/1004 | Loss: 0.4389234 | Speed: 2.4214s/iter | ETA: 8h 2m
2025-12-08 12:43:28 | INFO | Epoch 004 | Iter 00200/1004 | Loss: 0.3681532 | Speed: 0.4910s/iter | ETA: 1h 36m
2025-12-08 12:44:16 | INFO | Epoch 004 | Iter 00300/1004 | Loss: 0.3813165 | Speed: 0.4816s/iter | ETA: 1h 34m
2025-12-08 12:45:10 | INFO | Epoch 004 | Iter 00400/1004 | Loss: 0.2682936 | Speed: 0.5425s/iter | ETA: 1h 45m
2025-12-08 12:46:04 | INFO | Epoch 004 | Iter 00500/1004 | Loss: 0.3185143 | Speed: 0.5327s/iter | ETA: 1h 42m
2025-12-08 12:46:47 | INFO | Epoch 004 | Iter 00600/1004 | Loss: 0.4453926 | Speed: 0.4303s/iter | ETA: 1h 22m
2025-12-08 12:47:41 | INFO | Epoch 004 | Iter 00700/1004 | Loss: 0.2761220 | Speed: 0.5415s/iter | ETA: 1h 42m
2025-12-08 12:48:35 | INFO | Epoch 004 | Iter 00800/1004 | Loss: 0.2810308 | Speed: 0.5421s/iter | ETA: 1h 41m
2025-12-08 12:49:27 | INFO | Epoch 004 | Iter 00900/1004 | Loss: 0.3349210 | Speed: 0.5224s/iter | ETA: 1h 37m
2025-12-08 12:50:12 | INFO | Epoch 004 | Iter 01000/1004 | Loss: 0.2829731 | Speed: 0.4493s/iter | ETA: 1h 22m
2025-12-08 12:53:21 | INFO | Epoch 004 | Train Loss: 0.3701011 | Vali Loss: 0.8294481 | Test Loss: 0.3916641 | MAE: 0.4133391 | Time: 509.27s | LR: 1.00e-04
2025-12-08 12:54:15 | INFO | Epoch 005 | Iter 00100/1004 | Loss: 0.5858537 | Speed: 2.4269s/iter | ETA: 7h 22m
2025-12-08 12:55:07 | INFO | Epoch 005 | Iter 00200/1004 | Loss: 0.4124431 | Speed: 0.5180s/iter | ETA: 1h 33m
2025-12-08 12:55:52 | INFO | Epoch 005 | Iter 00300/1004 | Loss: 0.4940761 | Speed: 0.4523s/iter | ETA: 1h 20m
2025-12-08 12:56:46 | INFO | Epoch 005 | Iter 00400/1004 | Loss: 0.3298852 | Speed: 0.5427s/iter | ETA: 1h 36m
2025-12-08 12:57:40 | INFO | Epoch 005 | Iter 00500/1004 | Loss: 0.3703405 | Speed: 0.5363s/iter | ETA: 1h 34m
2025-12-08 12:58:23 | INFO | Epoch 005 | Iter 00600/1004 | Loss: 0.5010665 | Speed: 0.4364s/iter | ETA: 1h 15m
2025-12-08 12:59:18 | INFO | Epoch 005 | Iter 00700/1004 | Loss: 0.3398710 | Speed: 0.5422s/iter | ETA: 1h 33m
2025-12-08 13:00:12 | INFO | Epoch 005 | Iter 00800/1004 | Loss: 0.2808123 | Speed: 0.5427s/iter | ETA: 1h 32m
2025-12-08 13:01:04 | INFO | Epoch 005 | Iter 00900/1004 | Loss: 0.2952520 | Speed: 0.5238s/iter | ETA: 1h 28m
2025-12-08 13:01:49 | INFO | Epoch 005 | Iter 01000/1004 | Loss: 0.3839443 | Speed: 0.4492s/iter | ETA: 1h 15m
2025-12-08 13:04:58 | INFO | Epoch 005 | Train Loss: 0.3618278 | Vali Loss: 0.7662048 | Test Loss: 0.3866355 | MAE: 0.4121465 | Time: 510.66s | LR: 5.00e-05
2025-12-08 13:05:55 | INFO | Epoch 006 | Iter 00100/1004 | Loss: 0.4165080 | Speed: 2.4562s/iter | ETA: 6h 46m
2025-12-08 13:06:45 | INFO | Epoch 006 | Iter 00200/1004 | Loss: 0.2815172 | Speed: 0.5047s/iter | ETA: 1h 22m
2025-12-08 13:07:31 | INFO | Epoch 006 | Iter 00300/1004 | Loss: 0.2785737 | Speed: 0.4523s/iter | ETA: 1h 13m
2025-12-08 13:08:25 | INFO | Epoch 006 | Iter 00400/1004 | Loss: 0.4390900 | Speed: 0.5428s/iter | ETA: 1h 27m
2025-12-08 13:09:18 | INFO | Epoch 006 | Iter 00500/1004 | Loss: 0.3471119 | Speed: 0.5362s/iter | ETA: 1h 25m
2025-12-08 13:10:02 | INFO | Epoch 006 | Iter 00600/1004 | Loss: 0.3538358 | Speed: 0.4360s/iter | ETA: 1h 8m
